date,close,volume,open,high,low,symbol
2024-02-09,212.47,4785303,211.55,214.25,210.41,AXP
2024-02-08,211.21,4136649,208.25,211.34,207.95,AXP
2024-02-07,209.08,3272239,207.08,209.15,205.6,AXP
2024-02-06,205.65,3255282,205.44,207.08,204.0,AXP
2024-02-05,205.94,3099394,205.49,206.72,203.42,AXP
2024-02-02,206.41,3393186,203.39,206.97,203.0,AXP
2024-02-01,203.22,3025286,200.36,203.47,199.88,AXP
2024-01-31,200.74,3495246,202.4,205.32,200.66,AXP
2024-01-30,204.15,4284584,200.5,204.44,200.41,AXP
2024-01-29,200.86,4935511,201.91,202.9,199.07,AXP
2024-01-26,201.43,13555400,192.54,204.77,192.26,AXP
2024-01-25,188.07,3472509,186.44,188.33,186.43,AXP
2024-01-24,185.82,3052485,187.09,188.42,185.725,AXP
2024-01-23,185.47,2327575,185.68,186.02,184.81,AXP
2024-01-22,185.01,3145306,184.26,186.77,184.06,AXP
2024-01-19,183.17,3388875,181.0,183.38,179.41,AXP
2024-01-18,179.79,3215221,180.1,180.19,177.81,AXP
2024-01-17,181.0,2377792,179.45,181.6,179.0,AXP
2024-01-16,180.97,4142929,181.01,181.15,178.82,AXP
2024-01-12,182.04,3366290,185.83,186.409,181.95,AXP
2024-01-11,185.03,3493334,185.01,185.36,182.04,AXP
2024-01-10,184.97,2757848,185.03,186.1,183.6727,AXP
2024-01-09,186.77,2055536,187.83,187.99,186.3403,AXP
2024-01-08,189.21,3442161,188.22,189.33,186.38,AXP
2024-01-05,189.06,2243271,186.82,189.51,186.5207,AXP
2024-01-04,187.14,2777537,186.01,188.57,185.76,AXP
2024-01-03,186.32,2720517,186.68,187.49,185.5913,AXP
2024-01-02,188.31,2236696,186.49,188.735,186.07,AXP
2023-12-29,187.34,1914960,187.75,188.3,186.53,AXP
2023-12-28,187.8,1486110,187.12,188.07,187.0,AXP
2023-12-27,187.06,1825378,186.14,187.13,185.62,AXP
2023-12-26,185.96,1230025,185.96,186.18,185.13,AXP
2023-12-22,185.57,2782604,185.64,186.3699,184.63,AXP
2023-12-21,184.79,3496869,181.83,185.21,181.83,AXP
2023-12-20,180.65,4020694,185.35,185.65,180.54,AXP
2023-12-19,185.75,3978288,183.21,185.77,183.19,AXP
2023-12-18,182.76,2814390,181.38,182.84,181.03,AXP
2023-12-15,180.51,7139394,177.54,181.18,177.4981,AXP
2023-12-14,178.86,4548159,175.74,179.9,175.6,AXP
2023-12-13,174.56,3207685,171.21,174.66,170.145,AXP
2023-12-12,171.04,2946386,168.39,171.08,167.77,AXP
2023-12-11,168.39,2811552,168.4,169.5144,167.86,AXP
2024-06-07,81.43,10852600,81.62,82.63,80.61,SBUX
2024-06-06,81.47,9237764,81.15,82.93,80.92,SBUX
2024-06-05,81.16,11275340,82.46,82.5,80.96,SBUX
2024-06-04,82.79,12369950,81.97,83.43,81.9,SBUX
2024-06-03,82.08,12443410,79.68,82.12,79.62,SBUX
2024-05-31,80.22,12669720,79.08,80.33,78.61,SBUX
2024-05-30,78.76,9296635,77.1,78.875,77.055,SBUX
2024-05-29,76.88,9268066,77.1,78.32,76.83,SBUX
2024-05-28,77.48,8833325,78.79,78.8,77.41,SBUX
2024-05-24,78.87,10746170,78.5,79.22,78.11,SBUX
2024-05-23,78.305,15841330,80.1,80.7,77.64,SBUX
2024-05-22,80.72,22072210,77.7,81.02,77.44,SBUX
2024-05-21,77.72,8916627,77.555,78.215,77.5,SBUX
2024-05-20,77.54,11183770,77.68,78.32,76.71,SBUX
2024-05-17,77.85,14436470,75.27,78.0,74.92,SBUX
2024-05-16,75.28,10758470,75.185,75.55,74.455,SBUX
2024-05-15,75.7,8826471,75.9,76.03,75.3201,SBUX
2024-05-14,75.63,10961100,76.23,76.73,75.52,SBUX
2024-05-13,76.18,10953590,76.22,76.84,75.8,SBUX
2024-05-10,76.11,15761890,75.31,76.305,75.06,SBUX
2024-05-09,75.68,18591500,73.57,75.76,73.07,SBUX
2024-05-08,73.5,24482630,72.29,74.475,72.25,SBUX
2024-05-07,72.5,21901340,72.85,72.85,71.8,SBUX
2024-05-06,72.9,18632230,73.31,74.19,72.7,SBUX
2024-05-03,73.11,22153770,75.27,75.51,72.985,SBUX
2024-05-02,74.93,23883370,74.9,75.145,73.35,SBUX
2024-05-01,74.44,66610720,75.82,76.99,72.67,SBUX
2024-04-30,88.49,14538430,87.61,88.99,87.18,SBUX
2024-04-29,88.33,8522833,88.24,88.61,87.86,SBUX
2024-04-26,88.25,7185257,87.4,89.25,87.3704,SBUX
2024-04-25,87.84,7284616,89.55,89.73,87.68,SBUX
2024-04-24,88.75,7183882,87.06,88.94,86.95,SBUX
2024-04-23,87.87,5670465,88.77,88.81,87.32,SBUX
2024-04-22,88.18,8668988,88.08,88.61,87.34,SBUX
2024-04-19,87.61,11899970,87.15,88.08,87.12,SBUX
2024-04-18,87.15,11403310,86.438,87.63,86.05,SBUX
2024-04-17,86.21,6870073,86.0,86.42,85.34,SBUX
2024-04-16,85.42,8866801,84.82,86.19,84.42,SBUX
2024-04-15,85.17,9676851,85.4,86.365,84.915,SBUX
2024-04-12,84.92,8594849,85.42,85.51,84.29,SBUX
2024-04-11,85.9,6841570,86.0,86.31,85.26,SBUX
2024-04-10,85.95,7413858,86.32,86.87,85.6,SBUX
2024-04-09,87.13,6242718,87.19,87.6,86.31,SBUX
2024-04-08,87.19,6322904,86.97,87.36,86.3561,SBUX
2024-04-05,86.85,7161442,87.9,87.93,86.83,SBUX
2024-04-04,87.62,8057591,89.13,89.34,87.61,SBUX
2024-04-03,88.7,6316375,89.6,89.84,88.65,SBUX
2024-04-02,89.3,8276754,91.11,91.24,89.23,SBUX
2024-04-01,91.53,4990156,91.82,92.07,91.02,SBUX
2024-03-28,91.39,6784293,91.79,92.24,91.3,SBUX
2024-03-27,91.5,5863683,90.65,91.83,90.6,SBUX
2024-03-26,90.36,6216108,90.98,91.0,90.23,SBUX
2024-03-25,90.67,6902986,90.65,91.1175,90.47,SBUX
2024-03-22,90.71,6495018,91.74,91.78,90.06,SBUX
2024-03-21,91.66,6287275,92.63,93.17,91.64,SBUX
2024-03-20,92.6,5804396,91.79,92.625,91.515,SBUX
2024-03-19,91.59,5676530,91.0,91.9,90.86,SBUX
2024-03-18,91.01,7413915,90.75,91.425,90.53,SBUX
2024-03-15,90.12,18136260,91.6,92.02,90.0975,SBUX
2024-03-14,91.66,8544799,91.1,91.71,90.41,SBUX
2024-03-13,91.61,8254464,92.49,92.87,90.87,SBUX
2024-03-12,92.4,9444933,92.0,92.72,91.21,SBUX
2024-03-11,92.07,6702272,91.26,92.96,91.1675,SBUX
2024-03-08,91.06,7673306,90.62,91.53,90.6,SBUX
2024-03-07,90.95,8792403,91.62,91.76,90.31,SBUX
2024-03-06,91.65,4826947,91.35,92.03,91.12,SBUX
2024-03-05,91.22,7137304,92.1,92.17,91.065,SBUX
2024-03-04,92.46,7321004,93.06,93.32,92.04,SBUX
2024-03-01,93.16,7995399,94.45,94.57,92.91,SBUX
2024-02-29,94.9,11221060,94.5,95.1,93.98,SBUX
2024-02-28,93.0,5622420,93.77,93.97,92.77,SBUX
2024-02-27,94.13,5356076,94.32,94.66,93.6,SBUX
2024-02-26,94.28,7043838,95.36,95.565,94.25,SBUX
2024-02-23,95.62,6845440,95.88,96.93,95.58,SBUX
2024-02-22,95.78,8124709,94.89,96.075,94.14,SBUX
2024-02-21,95.02,8286281,93.86,95.766,93.77,SBUX
2024-02-20,93.46,8844526,93.36,94.12,93.065,SBUX
2024-02-16,93.22,5737486,93.1,94.1799,92.75,SBUX
2024-02-15,93.22,8877987,94.03,94.24,93.0,SBUX
2024-02-14,94.07,5510631,94.08,94.47,93.76,SBUX
2024-02-13,93.87,8138495,94.85,95.56,93.39,SBUX
2024-02-12,95.47,9224370,96.92,97.1392,95.38,SBUX
2024-02-09,97.3,9385584,96.32,97.99,96.29,SBUX
2024-02-08,96.59,9888133,95.1,96.69,93.925,SBUX
2024-02-07,95.31,9077973,96.24,96.6593,94.43,SBUX
2024-02-06,95.67,11531490,92.5,95.7,92.35,SBUX
2024-02-05,92.51,7335836,92.78,92.868,91.9,SBUX
2024-02-02,92.99,11366590,92.69,93.61,91.67,SBUX
2024-02-01,93.37,15001460,93.1,93.6,91.87,SBUX
2024-01-31,93.03,26751780,98.28,98.36,93.02,SBUX
2024-01-30,94.08,17625240,93.0,94.68,92.585,SBUX
2024-01-29,93.8,12728070,93.02,93.93,92.24,SBUX
2024-01-26,92.8,9229443,92.92,93.49,92.41,SBUX
2024-01-25,92.61,11991470,92.22,92.65,91.715,SBUX
2024-01-24,92.04,7661364,92.55,92.84,91.99,SBUX
2024-01-23,91.97,10227080,93.03,93.645,91.77,SBUX
2024-01-22,93.07,9420979,93.8,93.92,92.81,SBUX
2024-01-19,93.86,9565850,93.18,94.24,92.64,SBUX
2024-01-18,93.34,7549528,91.96,93.425,91.82,SBUX
2024-01-17,91.77,6672876,91.66,91.955,91.4,SBUX
2024-01-16,92.7,7493443,92.66,92.73,91.73,SBUX
2024-01-12,91.98,5641163,93.23,93.4,91.7716,SBUX
2024-01-11,92.94,6483610,93.33,93.64,91.9,SBUX
2024-01-10,93.5,5847748,93.01,93.69,92.88,SBUX
2024-01-09,93.09,6348458,93.61,93.73,92.86,SBUX
2024-01-08,94.19,7536873,93.02,94.57,92.95,SBUX
2024-01-05,92.99,7191023,93.33,93.58,92.48,SBUX
2024-01-04,93.55,7118640,93.1,94.58,93.0,SBUX
2024-01-03,93.23,7161677,93.96,94.24,93.06,SBUX
2024-01-02,93.67,8859654,95.45,95.95,93.62,SBUX
2023-12-29,96.01,6135654,95.88,96.35,95.3501,SBUX
2023-12-28,95.93,4518319,95.5,95.97,95.112,SBUX
2023-12-27,95.29,4959279,95.69,95.7786,94.79,SBUX
2023-12-26,95.67,3709492,95.34,95.69,94.955,SBUX
2023-12-22,95.28,6361013,94.89,95.83,94.34,SBUX
2023-12-21,95.33,7097160,95.08,95.4399,94.47,SBUX
2023-12-20,94.71,10057370,96.36,96.88,94.65,SBUX
2023-12-19,97.72,5992883,96.94,98.045,96.94,SBUX
2023-12-18,96.56,6146426,97.24,97.32,95.92,SBUX
2023-12-15,96.75,12466040,97.84,98.2382,96.56,SBUX
2023-12-14,97.84,9764843,98.72,98.79,97.15,SBUX
2023-12-13,98.11,7741909,98.5,98.64,96.82,SBUX
2023-12-12,98.15,6313820,98.44,98.6,97.43,SBUX
2023-12-11,98.12,7639105,97.22,99.005,97.22,SBUX
2024-06-07,63.91,9523089,64.09,64.225,63.81,KO
2024-06-06,64.15,8658456,63.92,64.36,63.84,KO
2024-06-05,63.92,9632525,63.99,64.07,63.35,KO
2024-06-04,63.94,11895620,63.2,63.97,62.94,KO
2024-06-03,62.93,9369046,62.71,63.09,62.445,KO
2024-05-31,62.93,19816630,61.99,63.025,61.69,KO
2024-05-30,61.97,9436821,61.85,62.08,61.6,KO
2024-05-29,61.7,11861820,61.47,61.88,61.07,KO
2024-05-28,61.82,12347000,61.79,62.13,61.4,KO
2024-05-24,62.0,8203136,62.22,62.42,61.97,KO
2024-05-23,62.09,9834292,62.49,62.88,62.05,KO
2024-05-22,63.0,7419406,62.71,63.02,62.66,KO
2024-05-21,62.91,9796202,62.82,62.98,62.44,KO
2024-05-20,62.57,11000890,62.93,63.01,62.46,KO
2024-05-17,63.03,11539020,63.34,63.37,62.935,KO
2024-05-16,63.32,10228000,63.24,63.725,63.07,KO
2024-05-15,63.13,9838897,63.06,63.3915,63.0,KO
2024-05-14,63.1,10852230,63.58,63.76,62.8,KO
2024-05-13,63.58,10137620,63.24,63.62,63.18,KO
2024-05-10,63.26,8371691,62.92,63.36,62.79,KO
2024-05-09,62.88,9113662,62.81,63.15,62.75,KO
2024-05-08,62.85,10484410,62.85,62.97,62.48,KO
2024-05-07,62.62,9807029,62.76,62.82,62.25,KO
2024-05-06,62.35,9310699,62.3,62.38,61.895,KO
2024-05-03,62.17,11628680,61.99,62.33,61.64,KO
2024-05-02,61.99,10991300,62.18,62.3991,61.72,KO
2024-05-01,61.93,16730830,61.8,62.57,61.21,KO
2024-04-30,61.77,19349150,62.14,62.83,61.465,KO
2024-04-29,62.04,13420750,61.92,62.05,61.53,KO
2024-04-26,61.74,10994260,61.55,61.93,61.35,KO
2024-04-25,61.74,19048540,61.87,62.59,61.37,KO
2024-04-24,61.55,19548320,60.32,61.65,59.84,KO
2024-04-23,60.64,13689130,60.53,60.675,60.13,KO
2024-04-22,60.55,15624550,60.14,60.63,59.715,KO
2024-04-19,60.17,21207850,59.1,60.355,58.995,KO
2024-04-18,58.91,11125870,58.62,58.98,58.54,KO
2024-04-17,58.51,13805070,58.28,58.555,58.1,KO
2024-04-16,58.06,11236840,58.25,58.38,57.93,KO
2024-04-15,58.14,12425050,58.61,58.805,58.04,KO
2024-04-12,58.28,12250950,58.95,59.01,58.13,KO
2024-04-11,59.05,11109010,59.15,59.37,58.785,KO
2024-04-10,58.92,11861880,59.32,59.39,58.69,KO
2024-04-09,59.72,10792140,59.48,59.74,59.13,KO
2024-04-08,59.27,10284540,59.4,59.47,59.07,KO
2024-04-05,59.51,10157760,59.25,59.68,58.9101,KO
2024-04-04,59.3,14320690,60.09,60.15,59.17,KO
2024-04-03,59.83,13672920,60.05,60.39,59.78,KO
2024-04-02,60.15,13017260,60.45,60.73,60.11,KO
2024-04-01,60.68,11668690,61.18,61.3,60.63,KO
2024-03-28,61.18,13683530,61.14,61.26,60.995,KO
2024-03-27,61.03,12551220,60.79,61.43,60.7,KO
2024-03-26,60.54,13277390,60.5,60.71,60.38,KO
2024-03-25,60.4,13144650,60.48,60.71,60.12,KO
2024-03-22,60.49,11502840,60.52,60.79,60.43,KO
2024-03-21,60.47,13067080,60.56,60.99,60.32,KO
2024-03-20,60.75,15258760,60.18,60.81,60.155,KO
2024-03-19,60.23,15030630,60.24,60.35,60.06,KO
2024-03-18,60.13,15856690,59.89,60.4,59.801,KO
2024-03-15,59.88,36849930,60.02,60.45,59.64,KO
2024-03-14,60.5,13996610,60.58,60.8,60.4,KO
2024-03-13,61.12,13909460,60.88,61.21,60.8001,KO
2024-03-12,60.5,12684650,60.32,60.75,60.21,KO
2024-03-11,60.24,14114260,59.78,60.29,59.575,KO
2024-03-08,59.52,13239010,59.3,59.79,58.97,KO
2024-03-07,59.44,13686860,59.69,59.77,59.24,KO
2024-03-06,59.55,12378820,59.52,59.995,59.38,KO
